maxtempC,mintempC,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindGustKmph,humidity,pressure,tempC,visibility,winddirDegree,windspeedKmph,PortlandRain,precipMM
29,29,11.6,6,61,8,23,23,14,40,1018,29,10,322,10,0,0
30,30,11.6,6,53,6,22,22,9,36,1019,30,10,271,5,0,0
30,30,11.6,6,46,4,23,23,8,28,1014,30,10,152,5,0,1
28,28,11.6,6,38,7,23,23,8,38,1009,28,10,222,5,0,1
23,23,11.6,5,31,4,19,19,17,40,1006,23,10,289,12,0,1
18,18,11.6,4,23,1,12,13,33,43,1012,18,10,316,24,0,0
16,16,10.2,4,16,-2,10,11,10,42,1018,16,10,197,6,0,0
23,23,11.6,4,8,-3,14,15,14,30,1013,23,10,136,9,0,0
17,17,10.2,3,0,5,14,15,13,56,1008,17,9,187,8,0,1
13,13,10.2,2,0,2,9,10,16,58,1010,13,9,249,11,0,1
14,14,8.8,4,0,4,10,11,21,61,1006,14,9,174,13,1,1
13,13,11.6,3,0,1,8,9,10,60,1009,13,9,277,8,1,1
9,9,10.2,3,7,2,5,7,12,69,1013,9,9,296,9,1,1
14,14,11.6,3,14,0,7,8,12,59,1017,14,10,317,8,0,0
16,16,11.6,3,22,-2,9,10,16,45,1018,16,10,325,11,0,0
16,16,11.6,4,30,-1,11,11,9,46,1018,16,10,244,6,0,0
19,19,11.6,4,37,2,14,14,7,47,1019,19,10,155,4,0,0
21,21,11.6,4,45,2,15,15,9,44,1021,21,10,152,6,0,0
23,23,11.6,5,52,1,16,16,8,39,1019,23,10,121,5,0,0
24,24,11.6,5,60,0,17,17,13,32,1014,24,10,125,8,0,0
17,17,11.6,4,67,3,13,14,21,50,1013,17,9,309,15,0,1
12,12,11.6,3,72,0,6,9,22,55,1015,12,10,316,15,0,1
12,12,11.6,3,79,-2,6,7,12,57,1016,12,10,274,8,1,1
14,14,11.6,3,87,-2,8,8,6,50,1021,14,10,172,4,1,0
12,12,5.9,2,94,-2,7,8,11,51,1020,12,8,121,7,0,1
14,14,11.6,4,100,-1,10,10,12,47,1021,14,10,213,7,0,0
18,18,11.6,5,100,0,15,15,9,36,1018,18,10,248,7,0,0
17,17,11.6,4,84,0,12,13,21,41,1012,17,10,276,14,0,0
12,12,11.6,3,77,-2,5,8,29,51,1017,12,10,319,21,0,1
12,12,11.6,3,70,-6,6,7,11,43,1026,12,10,208,6,1,0
17,17,10.1,3,62,-6,10,11,27,30,1016,17,10,130,16,0,0
13,13,11.5,3,55,-5,8,10,18,34,1012,13,10,213,11,0,0
9,9,11.5,2,48,-5,3,5,14,52,1021,9,10,244,9,0,0
8,8,7.2,2,41,-1,4,6,12,62,1021,8,9,214,8,1,1
8,8,11.5,2,33,-5,0,2,12,62,1033,8,10,278,8,1,0
13,13,11.4,3,26,-7,5,6,11,39,1031,13,10,136,7,1,0
15,15,10.6,3,19,-7,8,8,9,33,1026,15,10,134,5,0,0
17,17,5.3,3,12,-6,10,11,11,31,1020,17,10,95,6,0,0
21,21,10.5,4,4,-3,13,13,14,34,1017,21,10,90,8,0,0
22,22,10.5,5,0,-5,15,16,23,24,1007,22,10,142,12,0,0
14,14,8.4,2,0,-1,6,9,30,52,1006,14,9,250,21,0,1
7,7,6.8,1,3,-1,2,4,16,68,1021,7,10,159,10,1,1
11,11,5.2,2,10,6,7,9,21,81,1024,11,8,162,11,1,1
13,13,10.4,3,17,2,7,8,13,68,1036,13,10,210,8,1,0
15,15,10.4,3,25,0,8,9,8,55,1035,15,10,164,5,1,0
16,16,10.3,3,32,-1,9,10,10,51,1022,16,10,149,5,0,0
16,16,10.3,4,39,2,10,11,12,57,1020,16,10,322,7,0,0
16,16,10.3,4,46,3,10,10,8,64,1022,16,10,149,5,0,0
17,17,10.3,4,54,3,11,11,9,58,1020,17,10,126,5,0,0
18,18,10.2,4,61,2,11,11,12,54,1013,18,10,192,7,0,0
11,11,10.2,3,68,-1,7,8,15,51,1016,11,10,238,9,0,0
11,11,10.2,3,72,-6,5,6,11,45,1016,11,10,253,6,0,0
16,16,10.1,3,86,-5,9,10,17,37,1005,16,10,227,11,0,1
12,12,8.3,3,93,0,8,8,11,55,1009,12,10,160,7,0,1
10,10,5,2,100,3,5,7,17,73,1009,10,8,209,11,0,1
4,4,10.1,2,100,-2,0,2,9,72,1017,4,10,310,7,1,1
4,4,6.7,2,84,-3,-1,1,16,73,1016,4,9,134,10,1,1
4,4,10,2,76,-3,-1,1,10,75,1022,4,10,270,7,0,1
5,5,10,2,69,-7,-3,0,16,60,1030,5,10,104,10,1,0
7,7,9.9,2,61,-7,0,3,24,49,1022,7,10,131,14,0,0
11,11,9.9,3,54,-2,4,7,22,56,1014,11,9,155,13,0,1
9,9,6.6,3,46,2,5,6,11,76,1014,9,9,146,7,1,1
9,9,9.9,3,39,1,4,5,11,74,1021,9,10,93,6,0,1
10,10,8.3,3,31,-1,3,6,18,62,1020,10,10,139,10,0,0
14,14,9.8,3,24,-1,6,8,22,55,1017,14,9,139,13,0,1
8,8,9.8,3,16,-2,4,5,14,60,1021,8,9,234,9,0,1
9,9,8.3,2,8,-3,2,6,29,55,1015,9,10,118,17,0,1
9,9,9.8,3,1,2,5,7,22,73,1005,9,9,238,14,0,1
5,5,9.8,2,0,-3,1,3,16,66,1016,5,10,236,11,1,1
7,7,9.7,2,0,-6,0,2,15,55,1030,7,10,151,9,1,0
7,7,8.2,2,0,-8,0,2,17,48,1023,7,10,121,10,1,0
7,7,4.8,2,6,0,3,6,27,66,1015,7,9,116,14,0,1
14,14,6.5,3,14,6,9,10,14,80,1022,14,8,96,8,1,1
17,17,9.7,4,22,8,12,12,16,74,1024,17,10,107,9,1,1
16,16,9.6,4,29,6,12,13,21,63,1017,16,10,142,11,1,1
12,12,9.6,3,37,3,7,9,15,68,1016,12,10,228,9,0,1
11,11,9.6,3,44,-3,5,6,17,52,1021,11,10,112,9,1,1
14,14,6.5,3,52,0,8,10,27,51,1013,14,10,116,13,0,1
12,12,9.6,3,59,0,4,7,21,65,1013,12,10,283,14,0,1
7,7,9.6,2,67,-7,1,3,18,51,1023,7,10,137,11,0,0
4,4,9.5,2,74,-4,-1,2,15,68,1029,4,10,301,9,0,1
4,4,9.5,2,82,-6,-1,1,8,61,1027,4,10,146,5,1,0
7,7,9.5,2,86,-4,0,2,11,65,1023,7,10,110,6,0,0
7,7,4.5,1,93,-2,1,3,11,71,1017,7,9,111,6,1,1
3,3,6.9,1,100,-2,-2,2,23,78,1013,3,9,282,16,0,1
2,2,8.7,2,100,-6,-5,-1,18,68,1031,2,10,320,12,1,0
2,2,8.7,2,85,-9,-4,-2,11,60,1037,2,10,330,6,0,0
1,1,8.7,2,77,-8,-4,-2,10,64,1041,1,10,201,6,0,0
1,1,8.7,2,70,-8,-4,-3,6,67,1041,1,10,179,3,0,0
1,1,8.7,2,63,-10,-4,-3,6,57,1039,1,10,152,3,0,0
1,1,8.7,2,56,-10,-5,-3,7,60,1039,1,10,138,4,0,0
1,1,8.7,2,48,-12,-4,-4,4,54,1039,1,10,173,2,0,0
0,0,8.7,2,41,-13,-4,-4,3,51,1038,0,10,235,2,0,0
0,0,8.7,2,34,-17,-6,-4,7,36,1036,0,10,249,4,0,0
0,0,8.7,2,27,-18,-6,-3,10,31,1030,0,10,331,6,0,0
0,0,8.7,2,19,-9,-5,-3,7,65,1034,0,10,132,4,0,0
-1,-1,6.9,2,12,-10,-5,-4,7,61,1027,-1,10,167,4,0,1
1,1,8.7,2,5,-6,-8,-3,23,80,1022,1,10,318,14,0,0
1,1,6.9,2,0,-8,-4,-2,8,64,1027,1,10,160,4,0,0
4,4,8.7,2,0,-5,-1,1,12,66,1024,4,10,104,6,0,0
6,6,3.4,1,2,-3,0,4,31,64,1017,6,9,118,16,0,1
6,6,8.7,2,10,-5,-4,1,27,65,1015,6,10,277,17,0,0
0,0,8.7,2,17,-9,-7,-3,20,61,1029,0,10,281,13,1,0
2,2,5.1,1,24,-9,-3,-1,8,57,1025,2,9,111,5,0,1
-1,-1,8.7,2,31,-5,-6,-2,15,85,1027,-1,8,285,10,0,1
-4,-4,3.4,1,39,-12,-10,-7,9,69,1033,-4,9,105,5,1,1
-2,-2,8.7,2,46,-7,-7,-6,7,92,1025,-2,7,167,4,1,1
-2,-2,8.7,2,53,-9,-9,-7,10,83,1030,-2,10,72,5,0,0
0,0,6.9,2,61,-7,-4,-4,5,79,1028,0,10,87,3,0,0
1,1,6.9,2,68,-4,-4,-2,10,87,1028,1,10,145,5,0,1
5,5,6.9,2,75,-2,1,3,16,70,1022,5,9,105,8,0,1
5,5,8.7,2,82,-1,-1,2,21,77,1022,5,10,198,10,1,1
1,1,8.7,2,86,-7,-6,-3,13,74,1030,1,10,88,6,1,0
-1,-1,8.7,2,97,-9,-7,-4,13,71,1031,-1,10,152,7,0,0
0,0,8.7,2,100,-7,-6,-4,12,76,1034,0,10,138,7,0,0
-1,-1,8.7,2,89,-8,-5,-4,9,74,1029,-1,10,169,5,0,0
0,0,8.7,2,81,-7,-4,-3,7,75,1025,0,10,138,4,0,0
2,2,8.7,2,74,-5,-2,-1,7,73,1025,2,10,122,3,0,0
1,1,5.2,1,67,-2,-1,0,8,88,1023,1,7,211,4,0,1
4,4,8.7,2,59,-2,-2,1,14,83,1024,4,10,101,7,0,0
4,4,8.7,2,52,-2,-1,1,11,82,1017,4,10,113,6,1,0
4,4,3.4,2,45,1,0,3,25,87,1007,4,10,125,12,1,1
3,3,8.7,2,38,-2,-2,1,17,82,1015,3,8,237,9,0,1
4,4,3.4,1,30,-1,-2,2,25,83,1021,4,10,125,13,1,1
7,7,8.7,2,23,1,2,3,13,82,1027,7,10,255,7,0,1
7,7,8.7,2,16,0,2,3,11,77,1032,7,10,132,6,1,0
7,7,8.7,2,9,-1,2,3,10,74,1030,7,10,120,5,0,0
7,7,8.7,2,1,-2,1,3,15,72,1027,7,10,120,8,0,0
4,4,7,2,0,-3,0,2,13,72,1026,4,10,163,6,0,1
7,7,8.7,2,0,-2,0,2,20,71,1028,7,10,116,11,0,0
11,11,7,3,6,1,4,7,35,68,1014,11,10,143,19,0,1
4,4,7,1,13,-1,0,2,12,77,1014,4,10,192,9,1,1
3,3,8.7,2,20,-5,-2,0,11,70,1021,3,10,254,7,0,0
4,4,8.7,2,28,-6,-2,0,11,65,1026,4,10,195,7,0,1
3,3,7,1,35,-2,-2,1,17,84,1026,3,7,166,10,0,1
4,4,5.2,2,42,-4,-3,1,22,69,1028,4,10,109,13,0,0
7,7,5.2,2,49,-3,0,4,40,60,1017,7,10,123,21,1,0
5,5,8.7,2,57,-3,0,3,18,69,1011,5,9,216,10,1,1
3,3,8.7,1,64,-5,-2,0,11,69,1025,3,10,189,7,1,1
3,3,3.5,1,71,-3,-3,1,22,77,1028,3,9,116,13,1,1
